week,officialDate,Away,Home,player_name,BetTimeStamp,proj_receivingYards,proj_receivingReceptions,proj_rushingTouchdowns,proj_passingInterceptions,proj_passingAttempts,proj_passingCompletions,proj_passingYards,proj_rushingAttempts,proj_rushingYards,proj_passingTouchdowns,proj_receivingTouchdowns
1,2025-09-07,Las Vegas Raiders,New England Patriots,Drake Maye,2025-09-07T08:35:37.368884,,,,0.4342499766967024,26.153750570265537,18.203999905358106,211.68524196577434,4.232249972380041,33.42625180391746,1.0912499185133777,
1,2025-09-07,Las Vegas Raiders,New England Patriots,Geno Smith,2025-09-07T08:35:37.370611,,,,0.4774999904775616,27.051252040659193,20.35125032344224,240.8602495852515,2.41750012621634,8.21624989218592,1.0342499713103774,
1,2025-09-07,Las Vegas Raiders,New England Patriots,Hunter Henry,2025-09-07T08:35:37.371402,32.77625122300859,2.771999671714765,,,,,,,,,
1,2025-09-07,Las Vegas Raiders,New England Patriots,Jakobi Meyers,2025-09-07T08:35:37.372188,58.15450228837497,5.017500150921187,,,,,,,,,
1,2025-09-07,Las Vegas Raiders,New England Patriots,Michael Mayer,2025-09-07T08:35:37.372421,,,,,,,,,,,
1,2025-09-07,Las Vegas Raiders,New England Patriots,Rhamondre Stevenson,2025-09-07T08:35:37.373170,,,,,,,,7.739500549952275,42.5,,
1,2025-09-07,Las Vegas Raiders,New England Patriots,Stefon Diggs,2025-09-07T08:35:37.373810,49.47125345886537,4.184999861222496,,,,,,,,,
1,2025-09-07,Las Vegas Raiders,New England Patriots,TreVeyon Henderson,2025-09-07T08:35:37.374869,18.142499312470147,2.828750116516488,0.19131378225832907,,,,,9.262500026471912,40.15574847594314,,0.08643619643068491
1,2025-09-07,Miami Dolphins,Indianapolis Colts,Daniel Jones,2025-09-07T08:35:29.486120,,,,0.46499998458027736,37.6057508896737,22.376250009690594,264.73649045952357,6.041749952391204,21.55999897836452,0.6802499670963619,
1,2025-09-07,Miami Dolphins,Indianapolis Colts,De'Von Achane,2025-09-07T08:35:29.486592,,,,,,,,10.976499148689767,52.15175086084331,,
1,2025-09-07,Miami Dolphins,Indianapolis Colts,Jaylen Waddle,2025-09-07T08:35:29.487325,57.98875216378443,5.24924998804593,,,,,,,,,
1,2025-09-07,Miami Dolphins,Indianapolis Colts,Jonathan Taylor,2025-09-07T08:35:29.488008,,,,,,,,23.2224991631161,81.99500611025833,,
1,2025-09-07,Miami Dolphins,Indianapolis Colts,Michael Pittman Jr.,2025-09-07T08:35:29.488319,,,,,,,,,,,
1,2025-09-07,Miami Dolphins,Indianapolis Colts,Tua Tagovailoa,2025-09-07T08:35:29.489511,,,,0.49174997002871607,35.443002641208444,16.43950089515917,274.4227463990097,,,1.4505000757298039,
1,2025-09-07,Miami Dolphins,Indianapolis Colts,Tyreek Hill,2025-09-07T08:35:29.490172,71.30374565416383,6.041749952391204,,,,,,,,,
1,2025-09-07,New York Giants,Washington Commanders,Austin Ekeler,2025-09-07T08:35:32.272095,23.908000099258572,3.020000234489454,0.1044062443711094,,,,,6.41574998538947,22.724501186433596,,0.10984375323837176
1,2025-09-07,New York Giants,Washington Commanders,Chris Rodriguez,2025-09-07T08:35:32.272346,,,,,,,,,18.73874882343675,,
1,2025-09-07,New York Giants,Washington Commanders,Darius Slayton,2025-09-07T08:35:32.272736,32.015250150854946,2.301000038686033,,,,,,,,,
1,2025-09-07,New York Giants,Washington Commanders,Deebo Samuel,2025-09-07T08:35:32.273531,46.10474825015694,4.453750190135452,,,,,,,,,
1,2025-09-07,New York Giants,Washington Commanders,Jacory Croskey-Merritt,2025-09-07T08:35:32.273759,,,,,,,,,32.07874992694735,,
1,2025-09-07,New York Giants,Washington Commanders,Jayden Daniels,2025-09-07T08:35:32.275374,,,,0.3922499672015008,19.62449920364258,18.844750311061027,197.5799989727892,8.920749984638945,48.768750021120525,1.5,
1,2025-09-07,New York Giants,Washington Commanders,Malik Nabers,2025-09-07T08:35:32.276074,73.61250021038204,5.911750196621216,,,,,,,,,
1,2025-09-07,New York Giants,Washington Commanders,Russell Wilson,2025-09-07T08:35:32.277369,,,,0.508250029971284,29.814748384858685,20.63100153741984,217.5,2.658250010852323,,0.8459999588584886,
1,2025-09-07,New York Giants,Washington Commanders,Terry McLaurin,2025-09-07T08:35:32.278013,45.190250184489486,3.30750006716922,,,,,,,,,
